Code type,Code,Species name,Common name
W,126180,Trigla,Trigla
W,126178,Chelidonichthys,Chelidonichthys
W,125508,Argentinidae,Argentines
W,127153,Buglossidium luteum,solenette
W,150629,Echiichthys,Echiichthys
W,125999,Pomatoschistus,Pomatoschistus
W,140625,Todaropsis eblanae,lesser flying squid
W,127141,Platichthys flesus,flounder
W,126415,Alosa fallax,twaite
W,126281,Anguilla anguilla,European eel
W,107253,Homarus gammarus,European lobster
W,140271,Loligo vulgaris,lon-finned squid
W,107254,Nephrops norvegicus,Norway lobster
W,126755,Hyperoplus immaculatus,Corbin's sandeel
W,126754,Gymnammodytes semisquamatus,smooth sandeel
W,126975,Dicentrarchus labrax,seabass
W,126375,Belone belone,garfish
W,126996,Pholis gunnellus,butterfish
W,126977,Chelon labrosus,thick-lipped mullet
W,127389,Syngnathus rostellatus,lesser pipefish
W,105732,Mustelus,Mustelus
W,126783,Brama brama,Atlantic pomfret
W,127205,Triglops murrayi,moustache sculpin
W,126980,Liza ramada,thin-lipped mullet
W,140712,Pecten maximus,king scallop
W,126125,Zeugopterus,Zeugopterus
W,127118,Lycodes vahlii,Vahl's eelpout
W,127262,Chelidonichthys lucerna,tub gurnard
W,126413,Alosa alosa,mayfish
W,141452,Sepietta oweniana,Sepietta oweniana
W,494117,Sepiola tridens,Sepiola tridens
W,141449,Rossia macrosoma,stout bobtail squid
W,141457,Sepiola ligulata,tongue bobtail squid
W,105913,Etmopterus spinax,velvet-belly
W,141450,Sepietta neglecta,elegant bobtail squid
W,711846,Dipturus intermedius,flapper skate
W,153083,Rossia palperbrosa,warty bobtail squid
W,105841,Lamna nasus,Atlantic mackerel shark
W,138482,Sepietta,Sepietta
W,140621,Illex coindetii,southern shortfin squid
W,126878,Crystallogobius linearis,crystal goby
W,141443,Sepia elegans,elegant cuttlefish
W,126928,Pomatoschistus minutus,sand goby
W,138483,Sepiola,Sepiola
W,138281,Todarodes,Todarodes
W,11725,Sepiolidae,Sepiolidae
W,127219,Liparis liparis,sea snail
W,127145,Lepidorhombus boscii,fourspot meagrim
W,125885,Argentina,Argentina
W,126868,Aphia minuta,transparent goby
W,106737,Lithodidae,stone crabs
W,105894,Rajella fyllae,round skate
