"","spec_code_type","spec_code","spec_name","n","end_time","gear"
"1","W;","126417;","Clupea harengus",2,"2011Q1","ROT"
"2","W;","126285;","Conger conger",4,"2016Q1","ROT"
"3","W;","126436;","Gadus morhua",17,"2017Q1","ROT"
"4","W;","126437;","Melanogrammus aeglefinus",17,"2017Q1","ROT"
"5","W;","126438;","Merlangius merlangus",17,"2017Q1","ROT"
"6","W;","126484;","Merluccius merluccius",4,"2017Q1","ROT"
"7","W;","126461;","Molva molva",2,"2014Q1","ROT"
"8","W;","127143;","Pleuronectes platessa",11,"2017Q1","ROT"
"9","W;","126440;","Pollachius pollachius",9,"2017Q1","ROT"
